Официальное название,Размерная группа,Породные особенности,Основные факты,Описание
"Саарлооская волчья собака
",Крупные,Настороженные / Независимые / Преданные,"Требуется умеренная дрессировка
Требуется доступ к площадке на улице
Нуждается в опытном владельце","Саарлооская волчья собака — крепкое животное, внешний вид которого, включая его шерсть и манеру двигаться, напоминает волка.

Эти собаки подвижны и энергичны, горды и независимы, готовы делать что-либо только по собственной воле. Тем не менее они преданы своему владельцу и очень надежны. В окружении незнакомых людей собаки этой породы подозрительны и ведут себя сдержанно."
"Сен-мигельский фила
",Крупные,"Решительные / Спокойные / Умные / Послушный

","Отличная сторожевая собака
Требует минимального ухода за шерстью
Требует большой физической активности","Эти собаки родом с отдаленных островов, расположенных в Атлантическом океане, поэтому неудивительно, что эта португальская порода очень редкая. Сен-мигельский фила — это умная и выносливая пастушья собака, пользующаяся популярностью среди скотоводов у себя на родине из-за физических характеристик, которые позволяют ей упорно работать в любую погоду.

Эти выдающиеся пастушьи собаки также отлично подходят для охраны имущества и защиты людей. Они умеют постоять за себя при появлении посторонних, но беспрекословно слушаются своего владельца. Очень умные и восприимчивые, эти собаки при перегоне стада молочного скота покусывают животных за нижние части конечностей, чтобы не повредить им вымя."
"Сеттер гордон
",Крупные,"Умные / Уверенные / Привязчивые / Уравновешенные

","Требуется постоянный уход за шерстью
Не нуждается в интенсивной дрессировке
Требуются постоянные физические и умственные нагрузки","Эта порода предназначена для охоты в поле. Сеттеры гордоны — это красивые, спокойные и умные собаки с задумчивым взглядом и ровным характером, которые чрезвычайно преданы своим семьям.

Принимая во внимание охотничье происхождение породы, стоит отметить, что сеттеру гордону требуются постоянные физические нагрузки. Собаки этой породы с огромным удовольствием занимаются апортированием и изучают новые трюки."
"Словацкий чувач
",Крупные,Настороженные / Кроткие / Независимые / Преданные / Уравновешенные / Жизнерадостный,"Нуждается в опытном владельце
Дружелюбное поведение при общении с детьми
Требует минимального ухода за шерстью","Словацкие чувачи — крепкие горные собаки с густой белой шерстью и прочным костяком. Они известны своим живым, бдительным и бесстрашным характером.

За несколько веков существования породы эти внушительного вида собаки прямоугольного формата приспособились к суровому климату словацких Татр. Название породы связано со словацким словом, означающим «прислушиваться» и родственным русскому «чуткий»."
Спиноне,Крупные,Жизнерадостный / Общительные / Спокойные / Атлетичные,"Требуется груминг в умеренном объеме
Требует большой физической активности
Хорошо поддается дрессировке","Спиноне — от природы общительные, послушные и терпеливые собаки, отличные охотники на любой местности. Они способны как выслеживать дичь, так и приносить добычу владельцу. Спиноне передвигаются размашистой рысью.

По результатам опроса итальянских собаководов, спиноне заслужил звание идеальной собаки-компаньона, которая при этом обладает впечатляющими охотничьими навыками."
"Староанглийская овчарка
",Крупные,"Уравновешенные / Уверенные / Преданные

","Требуется груминг в умеренном объеме
Требуется доступ к площадке на улице
Требует большой физической активности","Старо-английская овчарка — это, возможно, одна из самых узнаваемых пород не только в родной Великобритании, но и во всем мире. Старо-английские овчарки — сильные, выносливые и преданные собаки, которые отлично подойдут как для работы, так и в качестве семейного питомца.

Благодаря своей неусыпной бдительности и оберегающему характеру старо-английские овчарки замечательно справляются с ролью сторожевых и фермерских собак."
"Старо-датский пойнтер
",Крупные,"Решительные / Уверенные / Тихие / Преданные

","Терпеливое отношение к другим животным и детям
Требует минимального ухода за шерстью
Требуется доступ к площадке на улице","Старо-датские пойнтеры отличаются спокойным и ровным характером. Они очень решительны и отважны. Это собаки средних размеров с прямоугольным корпусом и крепким телосложением.

Происхождение породы можно проследить примерно с 1710 года, когда некий Мортен Бак скрещивал цыганских собак с собаками местных фермеров до восьмого поколения. Так появилась чистокровная порода пегого бело-коричневого окраса под названием старо-датский пойнтер."
"Уругвайский симаррон
",Крупные,"Уверенные / Общительные / Уравновешенные

","Отличная сторожевая собака
Требует большой физической активности
Требует минимального ухода за шерстью","Уругвайский симаррон, один из национальных символов своей родины, обладает многими отличными качествами, в том числе умением пасти скот, охотиться на крупную дичь и защищать людей и имущество.

Это собаки средних размеров, молоссоидного типа, с крепким скелетом и мускулистым, компактным и подвижным телом. Их ценят за уравновешенный характер, ум и храбрость как на охоте, так и в домашних условиях."
"Фараонова собака
",Крупные,"Независимые / Умные / Общительные / Жизнерадостный

","Требует большой физической активности
Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме","Эти собаки средних размеров и благородного внешнего вида сочетают в себе силу и изящность. Фараоновы собаки способны бегать в очень быстром темпе. Они очень бдительны. Это прекрасные гончие, которые охотятся, полагаясь как на обоняние, так и на зрение, а на небольших расстояниях также используют слух.

Фараонова собака — очень игривая, умная и ласковая порода, которая хорошо ладит со всеми членами семьи, включая детей и других домашних животных. Из-за своего дружелюбного характера эти собаки не очень хорошо подходят на роль сторожевых, но могут подавать голос, когда что-то вызывает у них подозрение."
"Фландрский бувье
",Крупные,"Умные / Спокойные / Уверенные / Живые / Трудолюбивые

","Отличная сторожевая собака
Требуется груминг в умеренном объеме
Дружелюбное поведение при общении с детьми","Изначально фландрский бувье использовался для перегона скота, перевозки грузов в тележке и для сбивания масла. Модернизация сельскохозяйственного оборудования изменила эту ситуацию, и в настоящее время фландрский бувье используется для защиты ферм и в качестве охранной собаки.

Эти волевые собаки лучше всего проявляют себя у опытных владельцев, которые готовы посвятить свое время дрессировке и грумингу."
"Французская бело-черная гончая
",Крупные,"Дружелюбные / Кроткие / Уравновешенные

","Требует минимального ухода за шерстью
Требует большой физической активности
Отличная сторожевая собака","Собаки этой породы высоко ценятся за свое трудолюбие и надежность в стайной охоте на косуль. Это изящные и пропорционально сложенные собаки с прекрасным нюхом и отличным голосом.

Они дружелюбны, устанавливают тесную связь с людьми и могут без конфликтов содержаться в питомниках вместе с сородичами. Благодаря бдительному характеру представители этой породы заслужили репутацию отличных сторожевых псов."
"Французская рыже-пегая гончая
",Крупные,"Независимые / Живые

","Требует минимального ухода за шерстью
Дружелюбное поведение при общении с детьми
Любит охотиться","Как и все собаки, предназначенные для охоты в стае, французская рыже-пегая гончая легко уживается в семье, хотя иногда не прочь утвердить свое положение в отношениях с другими собаками.

Эта выносливая французская гончая, как полагают, связана с другой редкой галльской породой, билли, которая, по некоторым сведениям, использовалась в программе разведения."
"
Французский бракк гасконского типа",Крупные,"Привязчивые / Умные / Тихие / Уравновешенные

","Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
Терпеливое отношение к другим животным и детям","Эти благородные легавые обладают большой силой и легким крепким телом с сильными конечностями. Самки этой породы более изящны, чем самцы. Кожа гладкая, прилегает свободно. Французский бракк бывает двух разновидностей: крупная собака гасконского типа и более мелкая пиренейского типа.

Эти собаки — выходцы с юго-запада Франции (гасконский тип) и из региона центральных Пиреней (пиренейский тип), где не смешивались с другими породами. В последние десятилетия представители этой породы стали самыми популярными из французских легавых. Считается, что предки большинства европейских легавых имели их оригинальный коричневый окрас."
Ховаварт,Крупные,Привязчивые / Оберегающие / Уверенные / Уравновешенные / Преданные / Настороженные,"Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
","Ховаварты — энергичные длинношерстные служебные собаки средних размеров со слегка прямоугольным телосложением. Эти уравновешенные и добродушные собаки обладают великолепным защитным и охранным инстинктами, а также отличным чутьем.

Уверенные в себе и уравновешенные представители этой породы являются прекрасными собаками-компаньонами с развитым чувством привязанности к владельцу и его семье. Кроме того, впечатляющая универсальность ховавартов проявляется в том, что они успешно работают как розыскные собаки и собаки-спасатели."
"Черно-подпалый кунхаунд
",Крупные,Привязчивые / Умеет за себя постоять / Настороженные / Дружелюбные / Кроткие / Независимые / Тихие / Чувствительные / Уравновешенные / Общительные / Решительные / Жизнерадостный,"Дрессировку следует начинать в раннем возрасте
Требуется доступ к площадке на улице
Требует большой физической активности","Черно-подпалые кунхаунды — это уравновешенные, общительные и миролюбивые собаки, которые должны уметь тесно взаимодействовать с другими собаками. Некоторые представители этой породы отличаются несколько закрытым характером, но они никогда не проявляют робость или агрессивность. Агрессивное поведение черно-подпалого кунхаунда по отношению к людям или другим собакам крайне нежелательно. У этих собак внимательное и дружелюбное выражение глаз.

Черно-подпалые кунхаунды — это в первую очередь рабочие собаки, обученные по запаху выслеживать енотов, заставляя их спасаться на деревьях. Собаки этой американской породы могут не только выдерживать зимний холод и летнюю жару, но и работать в самых сложных условиях местности. Благодаря своим способностям и смелости черно-подпалые кунхаунды оптимально подходят для выслеживания оленей, медведей, пум и других крупных животных."
"Чесабик бей ретривер
",Крупные,Дружелюбные / Умные / Тихие / Привязчивые / Оберегающие / Трудолюбивые / Настороженные / Уверенные,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Отличная собака для семьи","Чесабик бей ретривер — это спокойная, умная собака с ярким и жизнерадостным характером, врожденной привязанностью к человеку и отличным защитным инстинктом. Эта порода обладает множеством качеств, включая смелость, тонкий нюх и высокий интеллект, что делает ее очень популярной.

Чесабик бей ретриверы очень хорошо ладят с детьми, пожилыми людьми и в целом отлично взаимодействуют с человеком."
"Чехословацкая волчья собака
",Крупные,Живые / Жизнерадостный / Спокойные / Уверенные / Преданные,"Нуждается в опытном владельце
Требуется интенсивная дрессировка
Требует много пространства","Чехословацкие волчьи собаки темпераментны, отличаются мгновенной реакцией и выносливостью. Они бесстрашны, легко адаптируются к любым условиям и способны стать исключительно преданными компаньонами.

Эти ласковые собаки очень сильно привязаны к своим владельцам, однако они могут вести себя сдержанно в окружении незнакомых людей."
"Чешская жесткошерстная легавая
",Крупные,Привязчивые / Умеет за себя постоять / Настороженные / Независимые / Кроткие / Умные / Преданные / Послушный / Уравновешенные / Жизнерадостный,"Не нуждается в интенсивной дрессировке
Терпеливое отношение к другим животным и детям
Требуется груминг в умеренном объеме","Чешские жесткошерстные легавые — благородные жесткошерстные собаки средних размеров с внешностью, говорящей о мощи и выносливости. Эти универсальные легавые унаследовали качества, необходимые для работы в поле, на воде и в лесу. Они хорошо поддаются дрессировке и очень преданы своим владельцам.

Первая мировая война и ее последствия привели к тому, что чешские жесткошерстные легавые почти вымерли в 1920-х годах. Порода была восстановлена с использованием ее типичных представителей, из которых путем планового разведения был получен современный тип чешской жесткошерстной легавой."
Ямтхунд,Крупные,Живые / Настороженные / Дружелюбные / Уверенные / Трудолюбивые / Послушный,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Требуется доступ к площадке на улице","Ямтхунд — крупная, мощная собака, которая также известна как шведский белый элкхунд. Это спокойные и общительные собаки, из которых получаются отличные компаньоны для опытных владельцев.

Представители этой породы от природы довольно независимы, поэтому им нужны владельцы, которые способны утвердить свое главенствующее положение и научить питомцев контролировать свою силу и оберегающий характер."
"Бернская горная собака
","Очень крупные
",Уверенные / Привязчивые / Настороженные / Преданные / Уравновешенные / Спокойные,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Требуется доступ к площадке на улице","Бернские горные собаки, первоначально использовавшиеся в качестве сторожевых и пастушьих собак на фермах в швейцарском регионе Берн, — это универсальные служебные животные и горячо любимые семейные питомцы. Эффектная трехцветная шерсть этих собак и отличная способность легко приспосабливаться к различным условиям завоевали любовь семей по всему миру.

Будучи уравновешенными, внимательными, бдительными и бесстрашными в повседневных ситуациях, представители этой породы добродушны и преданы по отношению к знакомым людям. При этом с посторонними они держатся уверенно и спокойно."
"Бордоский дог
","Очень крупные
",Оберегающие / Настороженные / Преданные / Привязчивые / Спокойные / Уравновешенные,"Нуждается в опытном владельце
Требуется доступ к площадке на улице
Не нуждается в интенсивной дрессировке","Бордоские доги отличаются смелостью и бдительностью и отлично подходят на роль сторожевой собаки.

Эти собаки становятся верными спутниками для своих владельцев и очень сильно привязываются к членам своей семьи. Они ласковы с детьми и терпимо относятся к другим собакам."
Брохольмер,"Очень крупные
",Спокойные / Уравновешенные / Дружелюбные / Уверенные,"Требует минимального ухода за шерстью
Отличная сторожевая собака
Требуется доступ к площадке на улице","В настоящее время большинство брохольмеров — это собаки-компаньоны и сторожевые собаки. Их телосложение и поведение — важные характеристики породы. Спокойный, уравновешенный и дружелюбный, но всегда бдительный брохольмер должен быть уверенной в себе собакой.

Когда собака внимательна или возбуждена, голова у нее поднята высоко, а хвост находится выше горизонтального положения. Эта порода была известна со времен Средневековья, когда она использовалась для охоты (на оленя). Позже этих собак использовали главным образом как охранников на больших фермах и в поместьях. Брохольмеров до сих пор довольно мало, и клуб любителей этой породы отслеживает всех взрослых особей и щенков, родившихся в Дании."
Бульмастиф,"Очень крупные
",Умные / Настороженные / Преданные / Оберегающие / Жизнерадостный / Живые / Полные энтузиазма,"Отличная сторожевая собака
Требуется владелец с некоторым опытом
Отличная собака для семьи","Бульмастифы — собаки мощного телосложения, которые производят впечатление очень сильных, но не грузных животных. Эти энергичные, бдительные и преданные собаки заслужили репутацию крепких, активных и надежных защитников.

Несмотря на крупные размеры, бульмастифы очень дружелюбны и отлично подходят на роль компаньонов для семьи."
"Ирландский волкодав
","Очень крупные
",Дружелюбные / Кроткие / Умные / Преданные / Тихие / Уравновешенные,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке","До конца XVII века эти собаки использовались в Ирландии для охоты на волков и оленей. В настоящее время они стали замечательными собаками-компаньонами. Ирландские волкодавы не обладают размерами или мощью немецких догов, но это все же очень крупные, внушительные и мускулистые собаки.

Ирландские волкодавы отлично подходят на роль сторожевых собак и всегда готовы защитить семью своего владельца от любой угрозы."
"Испанский мастиф
","Очень крупные
",Умные / Привязчивые / Дружелюбные / Решительные / Оберегающие / Уверенные,"Требуется груминг в умеренном объеме
Отличная сторожевая собака
Требует много пространства","Испанские мастифы тесно связаны с сезонным циклом перегона скота с одного пастбища на другое (особенно овец). Со времен Средневековья эти собаки защищали скот от волков и других хищников. В настоящее время они также используются для охраны имущества и защиты людей. Это очень умные животные, не лишенные красоты, и оба этих качества выражаются в их взгляде.

Выносливые, привязчивые, спокойные и благородные испанские мастифы неустрашимы с животными, представляющими угрозу, или с незнакомыми людьми, особенно когда эти собаки выполняют свои обязанности по охране и защите."
"Кангальский карабаш
","Очень крупные
",Привязчивые / Умеет за себя постоять / Настороженные / Уверенные / Спокойные / Дружелюбные / Независимые / Умные / Преданные / Послушный / Общительные / Жизнерадостный,"Требуется доступ к площадке на улице
Отличная сторожевая собака
Требуется груминг в умеренном объеме","Первоначально эти крупные, мощные собаки использовались для охраны овец в Анатолии. Это трудолюбивые собаки, способные выдерживать экстремальные климатические условия — от летней жары до зимних морозов.

Эти крупные и крепкие животные отличаются жизнерадостным нравом, быстротой, воспитанностью, смелостью и отсутствием агрессии. Они верны своим владельцам и относятся к ним с любовью на протяжении всей жизни. Взрослые собаки не доверяют незнакомым людям."
Ландзир,"Очень крупные
",Уравновешенные,"Требуется груминг в умеренном объеме
Требует много пространства
Отличная сторожевая собака","Ландзиры — это крупные, хорошо сложенные, крепкие собаки. У представителей этой породы более длинные конечности, чем у их дальних родственников, черных ньюфаундлендов.

От природы стремящийся охранять, ландзир с удовольствием работает «няней» для детей и защищает семью от любой угрозы. Он также отлично подходит на роль сторожевой собаки."
Леонбергер,"Очень крупные
",Уравновешенные / Дружелюбные / Уверенные / Игривые / Умные,"Отличная собака для семьи
Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме","Несмотря на внушительные размеры, леонбергеры очень благородные, привязчивые и отлично подходят на роль семейных собак-компаньонов. Они дружелюбны к детям и терпеливы к другим домашним животным.

Умные, жизнерадостные и наблюдательные леонбергеры — это прирожденные сторожевые собаки, которые способны быстро обнаружить посторонних и оповещают владельцев обо всем, что вызывает у них подозрение."
Мастиф,"Очень крупные
",Привязчивые / Спокойные / Оберегающие / Сдержанные,"Отличная сторожевая собака
Требуется владелец с некоторым опытом
Дрессировку следует начинать в раннем возрасте","Мастифы демонстрируют редкое сочетание благородства и бесстрашия. Эти спокойные собаки ласковы с владельцами и, несмотря на свои огромные размеры, крайне осторожно ведут себя с детьми.

Мастифы — это мощные, хорошо сложенные собаки. Известны случаи, когда вес мастифа превосходил вес взрослого мужчины. Во всем мире мастифы широко используются как охранные и сторожевые собаки: они чутки и бдительны, обладают развитым охранным инстинктом и внушительной внешностью."
"Неаполитанский мастиф
","Очень крупные
",Настороженные / Спокойные / Уверенные / Дружелюбные / Кроткие / Независимые / Умные / Преданные / Общительные,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке
Требует много пространства","Умные, спокойные и преданные неаполитанские мастифы никогда не проявляют неспровоцированной агрессии. Это величественные и благородные собаки грозного вида, которые отлично справляются с охранными и защитными функциями.

Неаполитанский мастиф — одна из древнейших итальянских пород. Несмотря на крупные размеры и внушительный внешний вид, эти собаки характеризуются исключительно спокойным и кротким нравом. При этом из-за больших размеров и силы неаполитанские мастифы могут не подойти неопытным владельцам."
Ньюфаундленд,"Очень крупные
",Привязчивые / Дружелюбные / Кроткие / Спокойные,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Требуется доступ к площадке на улице","Ньюфаундленды — общительные, добродушные собаки. Они успешно справляются с экстремальными ситуациями, а благодаря мощному мускулистому телу и отличной координации их можно легко обучить спасению на воде. В воде ньюфаундленды чувствуют себя очень комфортно. Они превосходно плавают, помогая себе сильным, широким у основания хвостом, который действует как руль.

Собаки этой породы бывают разных окрасов, в том числе черно-белого и черно-коричневого."
"Пиренейская горная собака
","Очень крупные
",Оберегающие / Подвижный / Кроткие / Независимые / Умные,"Требуется интенсивная дрессировка
Отличная сторожевая собака
Требуется доступ к площадке на улице","Пиренейские горные собаки, также известные как большие пиренеи, разводились в первую очередь для охраны стада. Они сильны и подвижны, а также проявляют кротость и привязанность к своим подопечным.

Во время Второй мировой войны эти собаки использовались французской армией в качестве курьеров и вьючных животных, а теперь они популярны на всех континентах, от Северной Америки до Австралазии."
"Пиренейский мастиф
","Очень крупные
",Спокойные / Кроткие / Независимые / Тихие / Уравновешенные / Общительные / Жизнерадостный / Уверенные / Оберегающие,"Отличная сторожевая собака
Не нуждается в интенсивной дрессировке
Требуется груминг в умеренном объеме","Пиренейские мастифы идеально подходят для охраны построек в сельской местности и защиты людей. Эти легко обучаемые собаки дружелюбны, спокойны, благородны и очень умны.

Для посторонних это храбрые и свирепые собаки, которые стоят на своем, что бы ни случилось; для других собак — добродушное животное, которое полностью осознает свою силу. Пиренейские мастифы — настоящие бойцы, если это необходимо. Они используют все свои породные навыки, которые приобрели за столетия борьбы с волками. Голос у них глубокий и низкий, выражение бдительное."
"Сенбернар короткошерстный
","Очень крупные
","Дружелюбные / Спокойные / Живые / Настороженные

","Отличная сторожевая собака
Требуется груминг в умеренном объеме
Требуется доступ к площадке на улице","Сенбернары — очень крупные дружелюбные собаки, как правило, спокойного нрава, но при этом достаточно энергичные, несмотря на свои внушительные размеры. Уже больше века эта порода остается самой известной и популярной породой горных собак.

Существуют две разновидности породы: короткошерстная (с плотной, гладкой, хорошо прилегающей шерстью) и длинношерстная (с прямым верхним слоем шерсти средней длины и густым подшерстком)."
"Тибетский мастиф
","Очень крупные
","Независимые / Оберегающие / Преданные

","Отличная сторожевая собака
Нуждается в опытном владельце
Требуется груминг в умеренном объеме","Тибетские мастифы — мощные, хорошо сложенные великаны. Эти серьезные с виду собаки сочетают внушительную силу со стойкостью, которая позволяет им работать в любых климатических условиях. Тибетские мастифы — независимые и внушающие уважение собаки. Они очень преданы своей семье и склонны защищать свою территорию.

Взрослеют они довольно медленно: самкам требуется два-три года, чтобы полностью развиться физически, а самцам — не менее четырех лет."
"Эштрельская горная собака
","Очень крупные
",Настороженные / Дружелюбные / Независимые / Умные / Преданные / Общительные,"Отличная сторожевая собака
Требует много пространства
Требуется груминг в умеренном объеме","Эштрельские горные собаки — молоссы группы мастифов. Эти уравновешенные, выносливые, смелые собаки ведут себя уверенно, но сдержанно. Один их вид сразу же внушает уважение.

Они становятся преданными компаньонами, всегда следуют за владельцем и очень послушны. Эштрельские горные собаки неустанно работают, защищая стада от волков и похитителей скота."
